fullVisitorId,visitStartTime,channelGrouping,medium,deviceCategory,source,city,timeOnSite,pagePathLevel1,pagePathLevel2,pagePathLevel3,contentGroup4,visitsIn0,transactionsIn0
1001565488575520188,1574280636,Organic Search,organic,tablet,google,London,173,"[""/knitting-and-crochet/"",""/knitting-and-crochet/"",""/knitting-and-crochet/"",""/arge-weaving-loom-30cm-x-395cm/"",""/rico-large-weaving-loom-30cm-x-395cm/"",""/knitting-and-crochet/""]","[""/accessories-and-tools/"",""/accessories-and-tools/"",""/accessories-and-tools/"",""/636209-1000"",""/636209-1000"",""/accessories-and-tools/""]","[""/knitting-and-weaving-looms"",""/knitting-and-weaving-looms?sort=Sale_Price~desc"",""/knitting-and-weaving-looms?sort=Sale_Price~desc"","""","""",""/knitting-and-weaving-looms?sort=Sale_Price~desc""]","[""Knitting  Weaving Looms"",""Knitting  Weaving Looms"",""Knitting  Weaving Looms"",""Product Details Page"",""Product Details Page"",""Knitting  Weaving Looms""]",1,0
1002984240696585914,1574242640,Email,email,tablet,email,Halifax,218,"[""/"",""/new-arrivals/"",""/emory-keepers-foil-quill-calligraphy-tip-freestyle-pen/"",""/we-r-memory-keepers-foil-quill-calligraphy-tip-freestyle-pen/"",""/we-r-memory-keepers-foil-quill-calligraphy-tip-freestyle-pen/"",""/basket"",""/basket"",""/basket"",""/thankyou.aspx?orderid=3937299""]","["""",""/new-in-papercraft"",""/647045-1003"",""/647045-1003"",""/647045-1003"","""","""","""",""""]","["""","""","""","""","""","""","""","""",""""]","[""Home Page"",""New In Papercraft"",""Product Details Page"",""Product Details Page"",""Product Details Page"",""Shopping Basket Page"",""Shopping Basket Page"",""Shopping Basket Page"",""Thank You Page""]",0,null
1005876708027501814,1574274084,Organic Search,organic,mobile,google,Leeds,null,"[""/sharpie-ultra-fine-tip-permanent-marker-assorted-colours-x12/""]","[""/575836-1000""]","[""""]","[""(not set)""]",2,0
102192262981973052,1574270011,Organic Search,organic,desktop,google,Hudiksvall,null,"[""/art-supplies""]","[""""]","[""""]","[""Art Supplies""]",0,null
1026843630265259833,1574262585,Direct,(none),mobile,(direct),Manchester,null,"[""/black-friday-deals""]","[""""]","[""""]","[""Black Friday Deals""]",0,null
1028285910282458990,1574252477,Email,email,mobile,email,London,null,"[""/black-friday-deals""]","[""""]","[""""]","[""Black Friday Deals""]",1,0
1032592525595359294,1574287426,Paid Search,cpc,mobile,google,Maidstone,null,"[""/cosy-christmas-cotton-fat-quarters-5-pack/""]","[""/645083-1003""]","[""""]","[""(not set)""]",0,null
1032845292879934017,1574263686,Email,email,tablet,email,Walsall,null,"[""/black-friday-deals""]","[""""]","[""""]","[""Black Friday Deals""]",3,0
1037024090030874829,1574266600,Email,email,tablet,email,Shrewsbury,37,"[""/black-friday-deals"",""/black-friday-deals"",""/n-piping-tips-11-pack/""]","["""","""",""/645166-1000""]","["""","""",""""]","[""Black Friday Deals"",""Black Friday Deals"",""Product Details Page""]",0,null
1043003358817124812,1574273484,Direct,(none),mobile,(direct),Birmingham,19,"[""/"",""/storefinder"",""/storesearchresults.aspx"",""/solihull""]","["""","""","""",""""]","["""","""","""",""""]","[""(not set)"",""(not set)"",""(not set)"",""(not set)""]",3,0
